date;region;mask_mandate;contact_restrictions;restaurants;retail_trade;schools;day_care;cultural_facilities;hotels
2020-03-09;Berlin;0;0;0;0;0;0;0;0
2020-03-10;Berlin;0;0;0;0;0;0;0;0
2020-03-11;Berlin;0;0;0;0;0;0;0;0
2020-03-12;Berlin;0;0;0;0;0;0;0;0
2020-03-13;Berlin;0;0;0;0;0;0;0;0
2020-03-14;Berlin;0;0;0;0;0;0;0;0
2020-03-15;Berlin;0;0;0;0;0;0;0;0
2020-03-16;Berlin;0;0;0;0;2;2;2;0
2020-03-17;Berlin;0;0;0;0;2;2;2;0
2020-03-18;Berlin;0;0;0;2;2;2;2;2
2020-03-19;Berlin;0;0;0;2;2;2;2;2
2020-03-20;Berlin;0;0;0;2;2;2;2;2
2020-03-21;Berlin;0;0;0;2;2;2;2;2
2020-03-22;Berlin;0;3;2;2;2;2;2;2
2020-03-23;Berlin;0;3;2;2;2;2;2;2
2020-03-24;Berlin;0;3;2;2;2;2;2;2
2020-03-25;Berlin;0;3;2;2;2;2;2;2
2020-03-26;Berlin;0;3;2;2;2;2;2;2
2020-03-27;Berlin;0;3;2;2;2;2;2;2
2020-03-28;Berlin;0;3;2;2;2;2;2;2
2020-03-29;Berlin;0;3;2;2;2;2;2;2
2020-03-30;Berlin;0;3;2;2;2;2;2;2
2020-03-31;Berlin;0;3;2;2;2;2;2;2
2020-04-01;Berlin;0;3;2;2;2;2;2;2
2020-04-02;Berlin;0;3;2;2;2;2;2;2
2020-04-03;Berlin;0;3;2;2;2;2;2;2
2020-04-04;Berlin;0;3;2;2;2;2;2;2
2020-04-05;Berlin;0;3;2;2;2;2;2;2
2020-04-06;Berlin;0;3;2;2;2;2;2;2
2020-04-07;Berlin;0;3;2;2;2;2;2;2
2020-04-08;Berlin;0;3;2;2;2;2;2;2
2020-04-09;Berlin;0;3;2;2;2;2;2;2
2020-04-10;Berlin;0;3;2;2;2;2;2;2
2020-04-11;Berlin;0;3;2;2;2;2;2;2
2020-04-12;Berlin;0;3;2;2;2;2;2;2
