date;region;mask_mandate;contact_restrictions;restaurants;retail_trade;schools;day_care;cultural_facilities;hotels
16.03.20;Berlin;none;none;open;open;closed;closed;closed;open
17.03.20;Berlin;none;none;open;open;closed;closed;closed;open
18.03.20;Berlin;none;none;open;closed;closed;closed;closed;closed
19.03.20;Berlin;none;none;open;closed;closed;closed;closed;closed
20.03.20;Berlin;none;none;open;closed;closed;closed;closed;closed
21.03.20;Berlin;none;none;open;closed;closed;closed;closed;closed
22.03.20;Berlin;none;strict;closed;closed;closed;closed;closed;closed
23.03.20;Berlin;none;strict;closed;closed;closed;closed;closed;closed
24.03.20;Berlin;none;strict;closed;closed;closed;closed;closed;closed
25.03.20;Berlin;none;strict;closed;closed;closed;closed;closed;closed
26.03.20;Berlin;none;strict;closed;closed;closed;closed;closed;closed
27.03.20;Berlin;none;strict;closed;closed;closed;closed;closed;closed
28.03.20;Berlin;none;strict;closed;closed;closed;closed;closed;closed
29.03.20;Berlin;none;strict;closed;closed;closed;closed;closed;closed
30.03.20;Berlin;none;strict;closed;closed;closed;closed;closed;closed
31.03.20;Berlin;none;strict;closed;closed;closed;closed;closed;closed
01.04.20;Berlin;none;strict;closed;closed;closed;closed;closed;closed
02.04.20;Berlin;none;strict;closed;closed;closed;closed;closed;closed
03.04.20;Berlin;none;strict;closed;closed;closed;closed;closed;closed
04.04.20;Berlin;none;strict;closed;closed;closed;closed;closed;closed
05.04.20;Berlin;none;strict;closed;closed;closed;closed;closed;closed
06.04.20;Berlin;none;strict;closed;closed;closed;closed;closed;closed
07.04.20;Berlin;none;strict;closed;closed;closed;closed;closed;closed
08.04.20;Berlin;none;strict;closed;closed;closed;closed;closed;closed
09.04.20;Berlin;none;strict;closed;closed;closed;closed;closed;closed
10.04.20;Berlin;none;strict;closed;closed;closed;closed;closed;closed
11.04.20;Berlin;none;strict;closed;closed;closed;closed;closed;closed
12.04.20;Berlin;none;strict;closed;closed;closed;closed;closed;closed
13.04.20;Berlin;none;strict;closed;closed;closed;closed;closed;closed
14.04.20;Berlin;none;strict;closed;closed;closed;closed;closed;closed
15.04.20;Berlin;none;strict;closed;closed;closed;closed;closed;closed
16.04.20;Berlin;none;strict;closed;closed;closed;closed;closed;closed
17.04.20;Berlin;none;strict;closed;closed;closed;closed;closed;closed
18.04.20;Berlin;none;strict;closed;closed;closed;closed;closed;closed
19.04.20;Berlin;none;strict;closed;closed;closed;closed;closed;closed
20.04.20;Berlin;none;strict;closed;closed;closed;closed;closed;closed
21.04.20;Berlin;none;strict;closed;open;closed;closed;closed;closed
22.04.20;Berlin;moderate;strict;closed;open;closed;closed;closed;closed
23.04.20;Berlin;moderate;strict;closed;open;closed;closed;closed;closed
24.04.20;Berlin;moderate;strict;closed;open;closed;closed;closed;closed
25.04.20;Berlin;moderate;strict;closed;open;closed;closed;closed;closed
26.04.20;Berlin;moderate;strict;closed;open;closed;closed;closed;closed
27.04.20;Berlin;moderate;strict;closed;open;closed;closed;closed;closed
28.04.20;Berlin;moderate;strict;closed;open;closed;closed;closed;closed
29.04.20;Berlin;moderate;strict;closed;open;closed;closed;closed;closed
30.04.20;Berlin;moderate;strict;closed;open;closed;closed;closed;closed
01.05.20;Berlin;moderate;strict;closed;open;closed;closed;closed;closed
02.05.20;Berlin;moderate;strict;closed;open;closed;closed;closed;closed
03.05.20;Berlin;moderate;strict;closed;open;closed;closed;closed;closed
04.05.20;Berlin;moderate;strict;closed;open;partially open;partially open;open;closed
05.05.20;Berlin;moderate;strict;closed;open;partially open;partially open;open;closed
06.05.20;Berlin;moderate;strict;closed;open;partially open;partially open;open;closed
07.05.20;Berlin;moderate;strict;closed;open;partially open;partially open;open;closed
08.05.20;Berlin;moderate;strict;closed;open;partially open;partially open;open;closed
09.05.20;Berlin;moderate;moderate;closed;open;partially open;partially open;open;closed
10.05.20;Berlin;moderate;moderate;closed;open;partially open;partially open;open;closed
11.05.20;Berlin;moderate;moderate;closed;open;partially open;partially open;open;closed
12.05.20;Berlin;moderate;moderate;closed;open;partially open;partially open;open;closed
13.05.20;Berlin;moderate;moderate;closed;open;partially open;partially open;open;closed
14.05.20;Berlin;moderate;moderate;closed;open;partially open;partially open;open;closed
15.05.20;Berlin;moderate;moderate;open;open;partially open;partially open;open;closed
16.05.20;Berlin;moderate;moderate;open;open;partially open;partially open;open;closed
17.05.20;Berlin;moderate;moderate;open;open;partially open;partially open;open;closed
18.05.20;Berlin;moderate;moderate;open;open;partially open;partially open;open;closed
19.05.20;Berlin;moderate;moderate;open;open;partially open;partially open;open;closed
20.05.20;Berlin;moderate;moderate;open;open;partially open;partially open;open;closed
21.05.20;Berlin;moderate;moderate;open;open;partially open;partially open;open;closed
22.05.20;Berlin;moderate;moderate;open;open;partially open;partially open;open;closed
23.05.20;Berlin;moderate;moderate;open;open;partially open;partially open;open;closed
24.05.20;Berlin;moderate;moderate;open;open;partially open;partially open;open;open
25.05.20;Berlin;moderate;moderate;open;open;partially open;partially open;open;open
26.05.20;Berlin;moderate;moderate;open;open;partially open;partially open;open;open
27.05.20;Berlin;moderate;moderate;open;open;partially open;partially open;open;open
28.05.20;Berlin;moderate;moderate;open;open;partially open;partially open;open;open
29.05.20;Berlin;moderate;moderate;open;open;partially open;partially open;open;open
30.05.20;Berlin;moderate;moderate;open;open;partially open;partially open;open;open
31.05.20;Berlin;moderate;moderate;open;open;partially open;partially open;open;open
01.06.20;Berlin;moderate;moderate;open;open;partially open;partially open;open;open
02.06.20;Berlin;moderate;moderate;open;open;partially open;partially open;open;open
03.06.20;Berlin;moderate;moderate;open;open;partially open;partially open;open;open
04.06.20;Berlin;moderate;moderate;open;open;partially open;partially open;open;open
05.06.20;Berlin;moderate;moderate;open;open;partially open;partially open;open;open
06.06.20;Berlin;moderate;moderate;open;open;partially open;partially open;open;open
07.06.20;Berlin;moderate;moderate;open;open;partially open;partially open;open;open
08.06.20;Berlin;moderate;moderate;open;open;partially open;partially open;open;open
09.06.20;Berlin;moderate;moderate;open;open;partially open;partially open;open;open
10.06.20;Berlin;moderate;moderate;open;open;partially open;partially open;open;open
11.06.20;Berlin;moderate;moderate;open;open;partially open;partially open;open;open
12.06.20;Berlin;moderate;moderate;open;open;partially open;partially open;open;open
13.06.20;Berlin;moderate;moderate;open;open;partially open;partially open;open;open
14.06.20;Berlin;moderate;moderate;open;open;partially open;partially open;open;open
15.06.20;Berlin;moderate;moderate;open;open;partially open;partially open;open;open
16.06.20;Berlin;moderate;moderate;open;open;partially open;partially open;open;open
17.06.20;Berlin;moderate;moderate;open;open;partially open;partially open;open;open
18.06.20;Berlin;moderate;moderate;open;open;partially open;partially open;open;open
19.06.20;Berlin;moderate;moderate;open;open;partially open;partially open;open;open
20.06.20;Berlin;moderate;moderate;open;open;partially open;partially open;open;open
21.06.20;Berlin;moderate;moderate;open;open;partially open;partially open;open;open
22.06.20;Berlin;moderate;moderate;open;open;partially open;partially open;open;open
23.06.20;Berlin;moderate;moderate;open;open;partially open;partially open;open;open
24.06.20;Berlin;moderate;light;open;open;partially open;partially open;open;open
25.06.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
26.06.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
27.06.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
28.06.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
29.06.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
30.06.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
01.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
02.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
03.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
04.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
05.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
06.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
07.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
08.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
09.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
10.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
11.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
12.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
13.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
14.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
15.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
16.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
17.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
18.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
19.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
20.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
21.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
22.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
23.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
24.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
25.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
26.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
27.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
